Measure	NumValues	Units	Minimum	25%	50%	75%	Maximum	Mean	StdDev
1,3,4,6,7,8-Hexahydro-4,6,6,7,8,8-hexamethylcyclopenta[g]-2-benzopyran	0	[]							
1,3,5-Triazin-2(1H)-one, 4-(ethylamino)-6-[(1-methylethyl)amino]-	3	['ug/l']	0.009000000000000001	0.012	0.015	0.015	0.015	0.013	0.0034641016151377535
1,3,5-Trimethylbenzene	99	['ug/l' 'ug/l      ']	0.0	0.0	0.0	0.0	0.0528	0.0009070707070707072	0.00558549967664547
1,3,5-Trinitrobenzene	0	[]							
1,3-Dichlorobenzene	0	[]							
1,3-Dichloropropane	115	['ug/l']	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1,3-Dichloropropene	0	[]							
1,4-Benzenedicarboxylic acid, 2,3,5,6-tetrachloro-, monomethyl ester	0	[]							
1,4-Dichlorobenzene-d4	109	['ug/l']	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1,4-Dioxane	0	[]							
1,4-Naphthoquinone	0	[]							
1,6,7-Trimethylnaphthalene	11	['ng/g' 'ug/kg     ']	-99.0	-99.0	1.7	8.645	101.0	-16.37090909090909	73.83005193747941
1,6-Dimethylnaphthalene	1	['ug/kg']	10.0	10.0	10.0	10.0	10.0	10.0	
1,7-Dimethylxanthine	0	[]							
1-(3,4-dichlorophenyl)-3-methyl urea	3	['ug/l']	0.004	0.004	0.004	0.00425	0.0045	0.004166666666666667	0.00028867513459481263
1-(Aminomethyl)cyclohexaneacetic acid	1	['% recovery']	91.4	91.4	91.4	91.4	91.4	91.4	
1-Bromo-2-chloroethane	1	['ug/l      ']	0.597	0.597	0.597	0.597	0.597	0.597	
1-Chlorobutane	0	[]							
1-Methylfluorene	0	[]							
1-Methylnaphthalene	66	['ug/l' 'ng/g' 'ug/kg     ' 'pg/l' 'ng/g      ']	0.0	0.72325	6.22	322.5	2179.0	268.1465863636363	489.20895889608124
1-Methylphenanthrene	85	['ug/l' 'ng/g' 'pg/l' 'ng/g      ' 'ug/kg     ']	0.0	2.3	120.0	410.0	13100.0	677.226843882353	2135.117933490884
1-Methylpyrene	0	[]							
1-Naphthol	11	['ug/l']	0.0045	0.0057	0.0096	0.01225	0.0207	0.010281818181818182	0.005706981370535247
1-Phenethyl-4-(phenylpropionylamino)piperidine	1	['% recovery']	101.0	101.0	101.0	101.0	101.0	101.0	
10,11-Dihydro-10-hydroxy Carbamazepine	0	[]							
1H-Benzotriazole, 5-methyl-	0	[]							
1RS cis-Permethrin	3	['ug/l']	0.015	0.033	0.051	0.058499999999999996	0.066	0.044000000000000004	0.026210684844162314
2,2',3,3',4,4',5,5',6-Nonachlorobiphenyl	20	['ng/kg' 'ug/kg     ' 'ng/g      ' 'ng/g']	0.0	0.0	0.51	3.1525	402.0	27.110650000000003	90.81028548299265
2,2',3,3',4,4',5,5'-Octachlorobiphenyl	13	['ug/kg     ' 'ng/kg']	0.0	0.0	0.155	1.77	59.5	5.527769230769231	16.289290644233336
2,2',3,3',4,4',5,6'-Octachlorobiphenyl	2	['ng/kg']	32.0	39.675	47.35	55.025000000000006	62.7	47.35	21.70817818242701
2,2',3,3',4,4',5,6,6'-Nonachlorobiphenyl	2	['ng/kg']	9.6	11.024999999999999	12.45	13.875000000000002	15.3	12.45	4.030508652763322
2,2',3,3',4,4',5,6-Octachlorobiphenyl	16	['ng/kg' 'ug/kg     ' 'ng/g']	0.0	0.0	0.05	2.7675	462.0	36.52750000000001	116.02156055377523
2,2',3,3',4,4',5-Heptachlorobiphenyl	20	['ng/kg' 'ng/g' 'ug/kg     ']	0.0	1.3324999999999998	4.470000000000001	12.975	98.1	16.0745	27.33912878814423
2,2',3,3',4,4'-Hexachlorobiphenyl	28	['ug/kg     ' 'ng/g' 'ng/g      ']	0.0	0.0	0.6635	2.3125	6.76	1.3431071428571426	1.7872065796839511
2,2',3,3',4,5',6'-Heptachlorobiphenyl	10	['ug/kg     ']	0.0	0.025	0.6200000000000001	1.575	5.64	1.3619999999999999	1.8950415416144428
2,2',3,3',4,5',6,6'-Octachlorobiphenyl	10	['ug/kg     ' 'ng/kg' 'ng/g      ']	0.0	0.1	1.362	4.5425	135.0	16.531399999999998	42.05602445468822
2,2',3,3',4,5'-Hexachlorobiphenyl	3	['ng/kg']	22.8	30.65	38.5	125.25	212.0	91.10000000000001	104.99633326930993
2,2',3,3',4,5,5',6-Octachlorobiphenyl	2	['%']	77.0	80.25	83.5	86.75	90.0	83.5	9.192388155425117
2,2',3,3',4,5,5'-Heptachlorobiphenyl	1	['ng/kg']	20.2	20.2	20.2	20.2	20.2	20.2	
2,2',3,3',4,5,6'-Heptachlorobiphenyl	8	['ng/kg' 'ug/kg     ']	0.9059999999999999	1.23	3.785	14.739999999999998	1850.0	237.59449999999998	651.5846647206661
2,2',3,3',4,5,6,6'-Octachlorobiphenyl	4	['ug/kg     ']	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2,2',3,3',4,6'-Hexachlorobiphenyl	7	['ng/kg' 'ng/g      ']	1.84	3.415	11.7	137.35	245.0	77.15285714285717	113.82547967748489
2,2',3,3',4,6,6'-Heptachlorobiphenyl	2	['ng/kg']	9.2	14.1	19.0	23.900000000000002	28.8	19.0	13.859292911256333
2,2',3,3',4,6-Hexachlorobiphenyl	2	['ng/kg']	1.2	1.325	1.45	1.575	1.7	1.45	0.3535533905932738
2,2',3,3',4-Pentachlorobiphenyl	1	['ng/kg']	16.0	16.0	16.0	16.0	16.0	16.0	
2,2',3,3',5,5',6-Heptachlorobiphenyl	2	['ng/kg']	39.0	41.375	43.75	46.125	48.5	43.75	6.7175144212722016
2,2',3,3',5,5'-Hexachlorobiphenyl	1	['ng/kg']	1.9	1.9	1.9	1.9	1.9	1.9	
2,2',3,3',6,6'-Hexachlorobiphenyl	3	['ng/kg']	8.2	9.649999999999999	11.1	12.25	13.4	10.899999999999999	2.605762844159077
2,2',3,3',6-Pentachlorobiphenyl	3	['ng/kg']	14.2	25.85	37.5	75.25	113.0	54.9	51.647168363812554
2,2',3,4',5',6-Hexachlorobiphenyl	9	['ug/kg     ' 'ng/g      ']	0.1	0.242	0.40399999999999997	7.68	93.6	13.166222222222222	30.403115690574285
2,2',3,4',5'-Pentachlorobiphenyl	7	['ug/kg     ']	1.01	1.295	1.47	1.6099999999999999	7.52	2.2585714285714285	2.332976843515801
2,2',3,4',5,5',6-Heptachlorobiphenyl	32	['ng/kg' 'ug/kg     ' 'ng/g' 'ng/g      ']	0.0	0.12825	1.67	7.7425	22900.0	818.24325	4046.3636664901983
2,2',3,4',5,5'-Hexachlorobiphenyl	3	['ng/kg']	59.6	88.3	117.0	133.5	150.0	108.86666666666667	45.74552801458666
2,2',3,4',5,6,6'-Heptachlorobiphenyl	1	['ng/kg']	11.8	11.8	11.8	11.8	11.8	11.8	
2,2',3,4'-Tetrachlorobiphenyl	2	['ng/kg' 'ug/kg     ']	0.2	0.525	0.85	1.175	1.5	0.85	0.9192388155425117
2,2',3,4,4',5',6-Heptachlorobiphenyl	8	['ug/kg     ']	0.0	0.0	0.05	1.03975	12.8	1.896625	4.435742132705321
2,2',3,4,4',5'-Hexachlorobiphenyl	29	['%' 'ng/g' 'ug/kg     ' 'ng/g      ']	0.0	0.69	2.21	7.3	182.0	16.468275862068964	38.305239900694446
2,2',3,4,4',5,5',6-Octachlorobiphenyl	7	['ng/g      ' 'ng/kg']	1.58	2.36	3.75	43.15	184.0	40.050000000000004	69.99846593557128
2,2',3,4,4',5,5'-Heptachlorobiphenyl	29	['ug/kg     ' 'ng/g' 'ng/g      ']	0.0	0.185	2.39	5.97	36.2	4.5888620689655175	7.215661209797844
2,2',3,4,4',5,6'-Heptachlorobiphenyl	1	['ng/kg']	2.2	2.2	2.2	2.2	2.2	2.2	
2,2',3,4,4',5,6-Heptachlorobiphenyl	1	['ng/kg']	3.5	3.5	3.5	3.5	3.5	3.5	
2,2',3,4,4',5-Hexachlorobiphenyl	2	['ng/kg' 'ng/g      ']	0.5579999999999999	14.3185	28.079	41.8395	55.6	28.079	38.92057145006995
2,2',3,4,4',6,6'-Heptachlorobiphenyl	1	['ng/kg']	2.1	2.1	2.1	2.1	2.1	2.1	
2,2',3,4,5',6-Hexachlorobiphenyl	1	['ng/kg']	222.0	222.0	222.0	222.0	222.0	222.0	
2,2',3,4,5'-Pentachlorobiphenyl	9	['ug/kg     ' 'ng/g      ']	0.0	0.0	1.1	1.28	2.9	1.0044444444444445	1.0652242851990268
2,2',3,4,5,5'-Hexachlorobiphenyl	1	['ng/kg']	2.8	2.8	2.8	2.8	2.8	2.8	
2,2',3,4,5,6-Hexachlorobiphenyl	0	[]							
2,2',3,4,6'-Pentachlorobiphenyl	0	[]							
2,2',3,4,6,6'-Hexachlorobiphenyl	0	[]							
2,2',3,5',6-Pentachlorobiphenyl	3	['ng/g      ']	6.16	6.825	7.49	10.995000000000001	14.5	9.383333333333333	4.480784901480245
2,2',3,5'-Tetrachlorobiphenyl	32	['ug/kg     ' 'ng/g' 'ng/g      ']	0.0	0.0	0.235	0.625	29.6	1.59896875	5.256258588942391
2,2',3,5,5',6-Hexachlorobiphenyl	10	['ug/kg     ']	0.0	0.0	0.0	0.4	34.7	4.175000000000001	10.912002820543789
2,2',3,5,5'-Pentachlorobiphenyl	3	['ng/kg']	32.1	109.05	186.0	279.5	373.0	197.03333333333333	170.71761283866797
2,2',3,5,6'-Pentachlorobiphenyl	0	[]							
2,2',3,5,6,6'-Hexachlorobiphenyl	1	['ng/kg']	0.6	0.6	0.6	0.6	0.6	0.6	
2,2',3,5-Tetrachlorobiphenyl	1	['ng/kg']	9.6	9.6	9.6	9.6	9.6	9.6	
2,2',3,6,6'-Pentachlorobiphenyl	2	['ng/kg']	5.4	6.025	6.65	7.275	7.9	6.65	1.7677669529663689
2,2',3-Trichlorobiphenyl	1	['ng/kg']	2.4	2.4	2.4	2.4	2.4	2.4	
2,2',4,4',5,5'-Hexachlorobiphenyl	29	['ug/kg     ' 'ng/g' 'ng/g      ']	0.0	0.828	5.0	10.8	179.0	17.694034482758617	38.62753411611497
2,2',4,4',5-Pentachlorobiphenyl	8	['ug/kg     ']	0.162	0.2525	2.097	28.171999999999997	84.6	20.164250000000003	31.59134180549203
2,2',4,4',6,6'-Hexachlorobiphenyl	2	['ng/kg']	0.4	1.125	1.8499999999999999	2.5749999999999997	3.3	1.8499999999999999	2.0506096654409878
2,2',4,5',6-Pentachlorobiphenyl	1	['ng/kg']	17.9	17.9	17.9	17.9	17.9	17.9	
2,2',4,5'-Tetrachlorobiphenyl	4	['ug/kg     ']	0.272	0.293	0.3315	2.47725	8.82	2.4387499999999998	4.254336875471899
2,2',4,5,5'-Pentachlorobiphenyl	20	['ug/kg     ' '%' 'ng/g' 'ng/g      ']	0.0	0.5714999999999999	4.205	17.15	98.3	12.928799999999999	22.5755503344938
2,2',4,5-Tetrachlorobiphenyl	0	[]							
2,2',4,6,6'-Pentachlorobiphenyl	0	[]							
2,2',4-Trichlorobiphenyl	2	['ng/kg']	1.5	98.375	195.25	292.125	389.0	195.25	274.00387770978716
2,2',5,5'-Tetrachlorobiphenyl	18	['ng/kg' 'ng/g' 'ng/g      ' 'ug/kg     ']	0.0	0.4675	1.23	3.5975	44.6	8.52111111111111	14.747580814129519
2,2',5-Trichlorobiphenyl	12	['ug/kg     ' 'ng/g']	0.0	0.0	0.05	0.1965	6.67	0.6993333333333333	1.9034346626957055
2,2',6-Trichlorobiphenyl	1	['ng/kg']	0.5	0.5	0.5	0.5	0.5	0.5	
2,2'-Biquinoline	0	[]							
2,2'-Dichlorobiphenyl	0	[]							
2,2,4,5,6,7,8,8-Octachloro-2,3,3a,4,7,7a-hexahydro-4,7-methano-1H-indene	5	['ug/kg     ']	0.0	0.0	0.0654	0.21	0.336	0.12228000000000001	0.1470639044769314
2,2-Dichloropropane	114	['ug/l' 'ug/l      ']	0.0	0.0	0.0	0.0	0.151	0.0017807017543859651	0.014510148277774622
2,3',4',5-Tetrachlorobiphenyl	11	['ug/kg     ' 'ng/g      ']	0.0	0.0645	0.441	0.8785000000000001	4.54	0.9446363636363636	1.4150268741424858
2,3',4,4',5',6-Hexachlorobiphenyl	3	['ug/kg     ']	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2,3',4,4',5'-Pentachlorobiphenyl	2	['ug/kg     ' 'ng/kg']	0.0	8.4	16.8	25.200000000000003	33.6	16.8	23.758787847867996
2,3',4,4',5,5'-Hexachlorobiphenyl	4	['ug/kg     ' 'ng/kg']	0.0	0.07500000000000001	0.25	67.3	268.0	67.125	133.91677452806277
2,3',4,4',5-Pentachlorobiphenyl	24	['%' 'ug/kg     ' 'ng/g' 'ng/kg']	0.0	0.2905	3.875	23.174999999999997	927.0	54.5905	188.9303136201512
2,3',4,4',6-Pentachlorobiphenyl	2	['ug/kg     ']	0.0	0.025	0.05	0.07500000000000001	0.1	0.05	0.07071067811865477
2,3',4,4'-Tetrachlorobiphenyl	184	['pg/l' 'ug/kg     ' 'ng/g      ' 'ng/g']	0.0	2.3949999999999996	4.595000000000001	9.8975	2770.0	29.221501630434783	205.53024403722708
2,3',4,5',6-Pentachlorobiphenyl	0	[]							
2,3',4,5'-Tetrachlorobiphenyl	2	['ng/kg']	0.5	0.625	0.75	0.875	1.0	0.75	0.3535533905932738
2,3',4,5,5'-Pentachlorobiphenyl	1	['ng/kg']	14.7	14.7	14.7	14.7	14.7	14.7	
2,3',4-Trichlorobiphenyl	3	['ng/kg']	0.6	0.7	0.8	1.15	1.5	0.9666666666666667	0.47258156262526085
2,3',5'-Trichlorobiphenyl	0	[]							
2,3',5,5'-Tetrachlorobiphenyl	4	['ng/kg']	0.7	0.8500000000000001	1.1	3.0500000000000003	8.3	2.8000000000000003	3.675141720623392
2,3',6-Trichlorobiphenyl	0	[]							
2,3,3',4',5',6-Hexachlorobiphenyl	3	['ng/kg']	4.6	66.8	129.0	293.5	458.0	197.20000000000002	234.26762473717957
2,3,3',4',5'-Pentachlorobiphenyl	0	[]							
2,3,3',4',5,5'-Hexachlorobiphenyl	3	['ng/kg']	1.8	1.9	2.0	3.2	4.4	2.733333333333333	1.446835627614047
2,3,3',4',6-Pentachlorobiphenyl	17	['ng/g' 'ug/kg     ' 'ng/g      ']	-99.0	0.261	0.616	3.88	52.6	0.7679999999999992	28.900884244690513
2,3,3',4'-Tetrachlorobiphenyl	1	['ng/kg']	0.8	0.8	0.8	0.8	0.8	0.8	
2,3,3',4,4',5',6-Heptachlorobiphenyl	2	['ng/g']	5.25	5.2775	5.305	5.3325000000000005	5.36	5.305	0.07778174593052045
2,3,3',4,4',5'-Hexachlorobiphenyl	1	['ng/g      ']	5.11	5.11	5.11	5.11	5.11	5.11	
2,3,3',4,4',5,5',6-Octachlorobiphenyl	2	['ng/kg']	2.7	2.7250000000000005	2.75	2.7749999999999995	2.8	2.75	0.0707106781186545
2,3,3',4,4',5,5'-Heptachlorobiphenyl	6	['ug/kg     ' 'ng/kg']	0.0	0.0	0.05	6.220000000000001	21.0	4.8933333333333335	8.550664691511805
2,3,3',4,4',5,6-Heptachlorobiphenyl	1	['ng/kg']	2380.0	2380.0	2380.0	2380.0	2380.0	2380.0	
2,3,3',4,4',5-Hexachlorobiphenyl	3	['ug/kg     ']	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2,3,3',4,4',6-Hexachlorobiphenyl	8	['ug/kg     ' 'ng/kg']	0.0	0.0	0.3505	1.2955	97.1	12.631874999999999	34.139295475354665
2,3,3',4,4'-Pentachlorobiphenyl	15	['ng/kg' 'ug/kg     ' 'ng/g']	0.0	0.9865	6.08	21.299999999999997	214.0	27.833533333333328	57.51069265905089
2,3,3',4,5',6-Hexachlorobiphenyl	0	[]							
2,3,3',4,5,5',6-Heptachlorobiphenyl	0	[]							
2,3,3',4,5,5'-Hexachlorobiphenyl	3	['ng/kg']	0.5	1.85	3.2	3.9	4.6	2.766666666666667	2.0840665376454113
2,3,3',4,5-Pentachlorobiphenyl	0	[]							
2,3,3',4,6-Pentachlorobiphenyl	1	['ng/kg']	13.6	13.6	13.6	13.6	13.6	13.6	
2,3,3',4-Tetrachlorobiphenyl	0	[]							
2,3,3',5,5',6-Hexachlorobiphenyl	1	['ng/kg']	0.6	0.6	0.6	0.6	0.6	0.6	
2,3,3',5,5'-Pentachlorobiphenyl	2	['ng/kg']	0.6	0.625	0.6499999999999999	0.6749999999999999	0.7	0.6499999999999999	0.07071067811865474
2,3,3',5,6-Pentachlorobiphenyl	8	['ng/g' '%']	66.0	75.5	83.5	88.25	89.0	81.125	8.458934414485753
2,3,3',5-Tetrachlorobiphenyl	1	['ng/kg']	1.3	1.3	1.3	1.3	1.3	1.3	
2,3,4',5-Tetrachlorobiphenyl	0	[]							
2,3,4',6-Tetrachlorobiphenyl	1	['ng/kg']	0.8	0.8	0.8	0.8	0.8	0.8	
2,3,4'-Trichlorobiphenyl	1	['ng/kg']	1.9	1.9	1.9	1.9	1.9	1.9	
2,3,4,4',5-Pentachlorobiphenyl	5	['ug/kg     ' 'ng/kg']	0.0	0.0	0.0	0.0	20.4	4.08	9.123157348199141
2,3,4,4'-Tetrachlorobiphenyl	1	['ng/kg']	17.7	17.7	17.7	17.7	17.7	17.7	
2,3,4,6,7,8-Hexachlorodibenzofuran	0	[]							
2,3,4,7,8-Pentachlorodibenzofuran	0	[]							
2,3,5,6-Tetrachlorobiphenyl	3	['ng/g']	4.35	4.8149999999999995	5.28	168.64	332.0	113.87666666666667	188.9009201495147
2,3,5-Trichlorobiphenyl	1	['pg/l']	0.057999999999999996	0.057999999999999996	0.057999999999999996	0.057999999999999996	0.057999999999999996	0.057999999999999996	
2,3,5-Trimethylnaphthalene***retired***use 1,6,7-Trimethylnaphthalene	36	['ug/l' 'pg/l']	-0.08800000000000001	116.5	180.0	353.0	5700.0	522.5321388888889	1045.1054977175997
2,3,6-Trichlorobiphenyl	1	['pg/l']	0.043	0.043	0.043	0.043	0.043	0.043	
2,3,6-Trichlorophenol	0	[]							
2,3,6-Trimethylnaphthalene	0	[]							
2,3,7,8-Tetrachlorodibenzo-p-dioxin	0	[]							
2,3,7,8-Tetrachlorodibenzofuran	2	['ng/kg']	0.6	0.75	0.8999999999999999	1.0499999999999998	1.2	0.8999999999999999	0.4242640687119285
2,3-Dichlorobiphenyl	1	['ng/kg']	0.7	0.7	0.7	0.7	0.7	0.7	
2,4',5-Trichlorobiphenyl	3	['ng/kg' 'ug/kg     ']	0.5660000000000001	0.7405	0.915	48.307500000000005	95.7	32.39366666666667	54.825170591009865
2,4'-Dichlorobiphenyl	12	['ug/kg     ' 'ng/g' 'ng/kg']	0.0	0.0	0.05	0.1955	42.4	5.982833333333333	14.134953772528409
2,4,4',5-Tetrachlorobiphenyl	9	['ug/kg     ' 'ng/g      ']	0.0	0.0	0.0	0.254	1.23	0.20933333333333332	0.40973039916510956
2,4,4'-Trichlorobiphenyl	9	['ng/g' 'ug/kg     ']	0.0	0.0	0.0	0.0	2.06	0.35777777777777775	0.7447445497917017
2,4,5-T	113	['ug/l' '% recovery' 'ug/kg']	0.0	0.0	0.0	0.0	105.0	1.7705309734513275	13.073887677399709
2,4,5-Trichlorobiphenyl	5	['ug/l' 'pg/l']	-0.001	-0.001	3.0	3.4	5.7	2.4196	2.43811818827554
2,4,5-Trichlorophenol	0	[]							
2,4,6-Tribromophenol	2	['% recovery']	50.6	54.6	58.599999999999994	62.599999999999994	66.6	58.599999999999994	11.313708498984756
2,4,6-Trichlorophenol	0	[]							
2,4,6-Tris(tert-butyl)phenol	0	[]							
2,4-D	139	['ug/l' 'ug/kg']	0.0	0.0	0.0	0.02	2.4	0.07741007194244603	0.3012951226162047
2,4-D methyl ester	0	[]							
2,4-DB	52	['ug/l']	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2,4-Dichlorobiphenyl	3	['pg/l']	0.046	0.0675	0.08900000000000001	0.10250000000000001	0.11599999999999999	0.08366666666666667	0.035303446479534165
2,4-Dichlorophenol	0	[]							
2,4-Dimethylphenol	0	[]							
2,4-Dinitrophenol	0	[]							
2,4-Dinitrotoluene	0	[]							
2,4-Pyrimidinediamine, 5-[(3,4,5-trimethoxyphenyl)methyl]-	0	[]							
2,5-Dichloroaniline	0	[]							
2,5-Dichlorobiphenyl	1	['pg/l']	0.09300000000000001	0.09300000000000001	0.09300000000000001	0.09300000000000001	0.09300000000000001	0.09300000000000001	
2,6-Dichlorobiphenyl	4	['pg/l']	0.038	0.056	0.076	0.10825000000000001	0.163	0.08825	0.05417487117351242
2,6-Diethylaniline	1	['ug/l']	0.002	0.002	0.002	0.002	0.002	0.002	
2,6-Dimethylnaphthalene	68	['ug/l' 'ng/g' 'pg/l' 'ng/g      ' 'ug/kg     ' 'ug/kg']	0.0	6.4875	96.4	276.0	3700.0	234.6068117647059	517.5111168851225
2,6-Dinitrotoluene	0	[]							
2-(p-tert-Butylphenoxy)cyclohexanol	2	['ug/l']	0.01	0.0175	0.025	0.0325	0.04	0.025	0.021213203435596427
2-Amino-4,6-dinitrotoluene	0	[]							
2-Chloro-4,6-diamino-s-triazine	0	[]							
2-Chloro-4-isopropylamino-6-amino-s-triazine	74	['ug/l']	0.002	0.005	0.0065	0.011000000000000001	0.08	0.011189189189189194	0.013828376300723163
2-Chloro-6-ethylamino-4-amino-s-triazine	10	['ug/l']	0.01	0.0125	0.02	0.0525	0.72	0.11000000000000001	0.22196095752781989
2-Chlorobiphenyl	2	['pg/l' 'ng/kg']	0.56	0.77	0.98	1.19	1.4	0.98	0.5939696961966998
2-Chloroethyl vinyl ether	0	[]							
2-Chloronaphthalene	0	[]							
2-Ethyl-6-methylaniline	2	['ug/l']	0.002	0.0052499999999999995	0.0085	0.01175	0.015	0.0085	0.009192388155425118
2-Ethylnaphthalene	0	[]							
2-Fluorobiphenyl	10	['% recovery' 'ng/g' 'ug/kg     ']	0.0	15.635	59.85	240.25	488.0	147.09200000000004	182.89888626111303
2-Hexanone	0	[]							
2-Hydroxyatrazine	7	['ug/l']	0.003	0.004	0.004	0.026500000000000003	0.263	0.0472857142857143	0.09572828611181108
2-Methyl-2-butanol	0	[]							
2-Methylanthracene	1	['ug/kg']	36.0	36.0	36.0	36.0	36.0	36.0	
